id,user_id,month,category,total_value,created_at,updated_at
41bd2252-330a-4a02-873e-bf902032d1c4,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Apartamento,2331.59,2025-05-31 14:16:03.727061+00,2025-05-31 14:16:03.727061+00
b8d9e989-4ad5-4247-9c4c-a177809a4af3,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Escritório,6271.66,2025-05-31 14:16:03.845512+00,2025-05-31 14:16:03.845512+00
de016b89-2ae3-4df6-b469-1d5532361bbd,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Contas mensais,2008.1,2025-05-31 14:16:03.948218+00,2025-05-31 14:16:03.948218+00
770b2673-d2e3-4634-aa39-376fb1d11455,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Estudos,30,2025-05-31 14:16:04.063206+00,2025-05-31 14:16:04.063206+00
7da4be97-809f-480c-98b7-19e91dc4b040,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Lazer e ócio,338.56,2025-05-31 14:16:04.184357+00,2025-05-31 14:16:04.184357+00
0e0c6dfa-bace-491e-a020-8f549f380513,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Comida,757.54,2025-05-31 14:16:04.298358+00,2025-05-31 14:16:04.298358+00
64501d63-81af-4716-90da-aa70096d85c0,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Tráfego Pago,15,2025-05-31 14:16:04.412916+00,2025-05-31 14:16:04.412916+00
de04375e-ad16-49c9-85d8-d92a23547819,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Vida esportiva,376.3,2025-05-31 14:16:04.504007+00,2025-05-31 14:16:04.504007+00
3058a510-55d4-48b0-a0a8-79560ade5b6e,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Carro,2294.96,2025-05-31 14:16:04.709293+00,2025-05-31 14:16:04.709293+00
8436ce01-6ba3-427f-9188-b0c2a5ca3369,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-07-01,Apartamento,2793.12,2025-05-31 14:16:04.810679+00,2025-05-31 14:16:04.810679+00
