id,user_id,display_name,onboarding_completed,theme_color,avatar_url,created_at,updated_at
f31c6531-393b-4bc2-8bf0-201d88247cd5,26bac8f5-5b37-4151-a95c-247251b8556d,Usuário,f,#f97316,,2025-10-13 13:23:36.832054+00,2025-10-13 13:23:36.832054+00
2b396645-c8d6-4129-a4d6-39e520a1bbf5,a3b12ed2-9440-40d9-9293-3c20e778dd74,Wesley,t,#f97316,,2025-10-13 13:23:36.832054+00,2025-10-13 14:19:03.393462+00
