id,user_id,type,amount,description,category,business_unit_id,credit_card,is_active,last_generated_month,created_at,updated_at
2fcbd1d1-03cd-467c-9b0c-a92ad72406c9,a3b12ed2-9440-40d9-9293-3c20e778dd74,saida,88.84,energia elétrica,Luz,786da91f-5e21-488b-8e08-95f9d3e656a0,,t,2025-12-01,2025-10-15 19:10:43.711843+00,2025-10-24 01:01:45.469698+00
774ef7af-761c-4fa4-a32c-463278ec581f,a3b12ed2-9440-40d9-9293-3c20e778dd74,saida,156.00,Vivo fibra,Internet,786da91f-5e21-488b-8e08-95f9d3e656a0,,t,2025-12-01,2025-10-15 19:10:49.750082+00,2025-10-24 01:01:45.469698+00
527b7990-fbdc-4e13-8af9-68b3dfc9d1c0,a3b12ed2-9440-40d9-9293-3c20e778dd74,saida,480.00,Terapia,Serviços pessoais,d4a8bdf9-d796-44dc-9498-553076c57748,,t,2025-12-01,2025-10-15 19:11:00.183927+00,2025-10-24 01:01:45.469698+00
63c185d4-aaf9-4e10-9606-b0c80733a0a6,a3b12ed2-9440-40d9-9293-3c20e778dd74,saida,80.90,das mei marcela,Impostos,b1acfd71-5320-4cc8-9aae-45664bcdb96e,,t,2025-12-01,2025-10-15 19:11:07.843656+00,2025-10-24 01:01:45.469698+00
f022ce69-9424-4095-8f14-c0848fba0f7d,a3b12ed2-9440-40d9-9293-3c20e778dd74,saida,31.90,Spotify,Serviços pessoais,d4a8bdf9-d796-44dc-9498-553076c57748,C6 Bank,t,2025-12-01,2025-10-24 00:55:17.2351+00,2025-10-24 01:01:45.469698+00
743754ed-2494-4d98-90ae-698a1e2b6e73,a3b12ed2-9440-40d9-9293-3c20e778dd74,saida,78.80,TV Meli +,Serviços pessoais,d4a8bdf9-d796-44dc-9498-553076c57748,C6 Bank,t,2025-12-01,2025-10-24 00:55:59.714902+00,2025-10-24 01:01:45.469698+00
c0330cd2-25e9-4416-b086-d51016c9e6e6,a3b12ed2-9440-40d9-9293-3c20e778dd74,saida,99.90,Assinatura ChatGPT Plus,AI,b1acfd71-5320-4cc8-9aae-45664bcdb96e,C6 Bank,t,2025-12-01,2025-10-24 00:59:46.611568+00,2025-10-24 01:01:45.469698+00
6783c41f-806b-43b0-8707-03267972e7e5,a3b12ed2-9440-40d9-9293-3c20e778dd74,saida,5.90,Apple cloud,Software,b1acfd71-5320-4cc8-9aae-45664bcdb96e,C6 Bank,t,2025-12-01,2025-10-24 01:00:31.139162+00,2025-10-24 01:01:45.469698+00
5bc3f497-8eaf-4863-93a2-1646b1c9bb62,a3b12ed2-9440-40d9-9293-3c20e778dd74,saida,49.90,Beeper WhatsApp,Software,b1acfd71-5320-4cc8-9aae-45664bcdb96e,C6 Bank,t,2025-12-01,2025-10-24 01:01:29.224364+00,2025-10-24 01:01:45.469698+00
c0a00223-4c9f-45f2-a14f-401dbf3d4702,a3b12ed2-9440-40d9-9293-3c20e778dd74,saida,127.98,TIM - Wesley e Marcela,Serviços pessoais,d4a8bdf9-d796-44dc-9498-553076c57748,C6 Bank,t,2025-11-01,2025-10-24 01:03:44.406317+00,2025-10-24 01:04:25.33649+00
a618be46-d313-417c-8f1c-753be895d511,a3b12ed2-9440-40d9-9293-3c20e778dd74,saida,99.00,Adapta Org,AI,b1acfd71-5320-4cc8-9aae-45664bcdb96e,C6 Bank,t,2025-11-01,2025-10-24 01:07:48.826053+00,2025-10-24 01:08:19.396915+00
